window_start,window_end,symbol,news_count,avg_sentiment,max_sentiment,min_sentiment,sentiment_std,breaking_count,avg_breaking_score,has_sec,has_fed,has_blackrock,has_major_entity,positive_keyword_count,negative_keyword_count,vol_pre_24h,volume_pre_24h,rsi_24h,price_change_24h,high_low_range_24h,volume_ma_ratio,market_cap_rank,time_of_day,day_of_week,price_at_window,price_1h,price_24h,ret_1h,ret_24h,baseline_ret_1h,baseline_ret_24h,abret_1h,abret_24h,label_1h,label_24h
2025-12-19 16:00:00,2025-12-19 17:00:00,BTCUSDT,0,0.5,0.5,0.5,0.0,0,0.0,0,0,0,0,0,0,3.4911463366793445,27740.11428,83.64961151491286,-0.0705910423341794,5.86140842375271,1.6258300763689637,1,16,4,87983.25,86943.25,88149.72,-1.1820431729903136,0.1892064682766335,-0.5239719606190587,-0.32161283010133834,-0.6580712123712549,0.5108192983779718,DOWN,UP
2025-12-19 16:00:00,2025-12-19 17:00:00,ETHUSDT,1,0.4999996548497734,0.4999996548497734,0.4999996548497734,0.0,1,0.6,0,0,0,0,0,0,5.31522788363609,706660.6289,88.15733672603893,0.7198179224131938,8.82137799574083,1.6552273511955833,2,16,4,2966.99,2940.0,2978.9,-0.9096761364210794,0.401416924222876,-0.9942549135834079,-0.4624752201147549,0.08457877716232853,0.8638921443376308,DOWN,UP
2025-12-19 16:00:00,2025-12-19 17:00:00,BNBUSDT,1,0.4999996548497734,0.4999996548497734,0.4999996548497734,0.0,1,0.6,0,0,0,0,0,0,3.150583017379772,1349381.7589999998,81.26094570928208,0.13602223667868912,4.473417319370962,3.540934351425638,3,16,4,848.28,844.95,854.26,-0.3925590606875003,0.7049559107841772,-0.5739637345478786,-0.4334112370410641,0.18140467386037834,1.1383671478252413,DOWN,UP
2025-12-19 16:00:00,2025-12-19 17:00:00,SOLUSDT,1,0.4999996548497734,0.4999996548497734,0.4999996548497734,0.0,1,0.6,0,0,0,0,0,0,6.357752445866476,5372663.305000001,85.42766631467798,-1.3952388459719345,9.223134839151268,1.5906870955008525,4,16,4,125.28,123.65,126.3,-1.301085568326944,0.8141762452107247,-1.1567680684115014,-0.7474553844239306,-0.14431749991544263,1.5616316296346553,DOWN,UP
2025-12-19 17:00:00,2025-12-19 18:00:00,BTCUSDT,0,0.5,0.5,0.5,0.0,0,0.0,0,0,0,0,0,0,2.9570383009644807,27786.732770000002,82.33184005217736,1.7340752392709116,5.86140842375271,1.6434778264334944,1,17,4,86943.25,87155.44,88181.8,0.24405574900869514,1.424549921931838,0.07969262403169453,-0.4943550869003346,0.16436312497700062,1.9189050088321726,DOWN,UP
2025-12-19 17:00:00,2025-12-19 18:00:00,ETHUSDT,0,0.5,0.5,0.5,0.0,0,0.0,0,0,0,0,0,0,3.9097915836392936,707568.6264,87.3111439282062,4.266983416327822,8.82137799574083,1.683563432734813,2,17,4,2940.0,2966.32,2978.02,0.8952380952381008,1.293197278911564,0.048504177679857985,-0.5704972471466221,0.8467339175582429,1.863694526058186,UP,UP
2025-12-19 17:00:00,2025-12-19 18:00:00,BNBUSDT,0,0.5,0.5,0.5,0.0,0,0.0,0,0,0,0,0,0,2.6431897373399154,1342083.2989999999,81.3588850174217,1.9677609356781387,4.473417319370962,3.526279122781338,3,17,4,844.95,849.33,853.47,0.5183738682762288,1.0083436889756767,0.15609666203814646,-0.47149409582578056,0.36227720623808235,1.4798377848014572,UP,UP
2025-12-19 17:00:00,2025-12-19 18:00:00,SOLUSDT,0,0.5,0.5,0.5,0.0,0,0.0,0,0,0,0,0,0,5.483555954529496,5372570.137,84.8017621145375,1.8785069529153469,9.223134839151268,1.607105476768925,4,17,4,123.65,124.79,126.02,0.9219571370804696,1.916700363930441,-0.054232430401672006,-0.9247731138759249,0.9761895674821416,2.8414734778063657,UP,UP
2025-12-19 18:00:00,2025-12-19 19:00:00,BTCUSDT,0,0.5,0.5,0.5,0.0,0,0.0,0,0,0,0,0,0,3.1568073635889515,26790.045120000002,50.76030353498629,1.1320809584738862,5.86140842375271,1.5762883368566396,1,18,4,87155.44,87845.92,88313.21,0.7922397041423874,1.3283967128156362,-0.32795769601214547,-0.5019048876262183,1.120197400154533,1.8303016004418544,UP,UP
2025-12-19 18:00:00,2025-12-19 19:00:00,ETHUSDT,0,0.5,0.5,0.5,0.0,0,0.0,0,0,0,0,0,0,3.9826427476803676,646086.0572,61.95140763594287,3.9758379957419447,8.82137799574083,1.5383690152503464,2,18,4,2966.32,2985.02,2978.05,0.6304107446263322,0.3954394670837947,-0.25298355856992527,-0.4818868567558268,0.8833943031962574,0.8773263238396215,UP,UP
2025-12-19 18:00:00,2025-12-19 19:00:00,BNBUSDT,0,0.5,0.5,0.5,0.0,0,0.0,0,0,0,0,0,0,2.687707480209869,1308901.875,63.6058230683093,1.5455058947950358,4.473417319370962,3.431297018741725,3,18,4,849.33,856.15,853.29,0.8029858829901142,0.46624986754264214,-0.24937639925107186,-0.4747124134417353,1.052362282241186,0.9409622809843774,UP,UP
